date,ride_name,SACTMIN,SPOSTMIN
10/20/2017,7_dwarfs_train,27.2,58.0
10/20/2018,7_dwarfs_train,61.0,-10.335714285714285
10/20/2019,7_dwarfs_train,43.6,54.07142857142857
10/20/2021,7_dwarfs_train,20.153846153846153,14.531847133757962
10/21/2015,7_dwarfs_train,30.5,-38.50735294117647
10/21/2016,7_dwarfs_train,42.4,62.65151515151515
10/21/2017,7_dwarfs_train,50.2,-14.134615384615385
10/21/2018,7_dwarfs_train,38.0,-87.41104294478528
10/21/2019,7_dwarfs_train,17.9,-5.557142857142857
10/21/2021,7_dwarfs_train,39.42857142857143,51.973584905660374
10/22/2015,7_dwarfs_train,41.0,2.9022556390977443
10/22/2016,7_dwarfs_train,22.5,100.68548387096774
10/22/2017,7_dwarfs_train,41.142857142857146,-6.15625
10/22/2018,7_dwarfs_train,29.0,-156.50375939849624
10/22/2019,7_dwarfs_train,20.2,41.68181818181818
10/22/2021,7_dwarfs_train,46.5,-179.26421404682273
10/23/2015,7_dwarfs_train,39.0,-14.935483870967742
10/23/2016,7_dwarfs_train,29.25,-51.431654676258994
10/23/2017,7_dwarfs_train,,45.52238805970149
10/23/2018,7_dwarfs_train,20.625,-48.170731707317074
10/23/2019,7_dwarfs_train,17.5,90.78740157480316
10/23/2021,7_dwarfs_train,53.333333333333336,56.96797153024911
10/24/2015,7_dwarfs_train,41.6,-52.41935483870968
10/24/2016,7_dwarfs_train,16.333333333333332,-9.184466019417476
10/24/2017,7_dwarfs_train,37.0,-101.81290322580645
10/24/2018,7_dwarfs_train,47.6,-21.35483870967742
10/24/2019,7_dwarfs_train,25.25,37.55862068965517
10/24/2021,7_dwarfs_train,29.666666666666668,-71.25552050473186
10/25/2015,7_dwarfs_train,26.6,50.46153846153846
10/25/2016,7_dwarfs_train,39.2,-42.09375
10/25/2017,7_dwarfs_train,30.5,51.85064935064935
10/25/2018,7_dwarfs_train,31.5,-48.83116883116883
10/25/2019,7_dwarfs_train,23.5,49.81884057971015
10/25/2021,7_dwarfs_train,58.0,-104.93283582089552
10/26/2015,7_dwarfs_train,26.0,67.96153846153847
10/26/2016,7_dwarfs_train,16.0,56.991379310344826
10/26/2017,7_dwarfs_train,20.333333333333332,-18.949685534591193
10/26/2018,7_dwarfs_train,30.8,-91.32317073170732
10/26/2019,7_dwarfs_train,80.0,78.55371900826447
10/26/2021,7_dwarfs_train,44.57142857142857,-5.945355191256831
10/27/2015,7_dwarfs_train,36.4,-47.78358208955224
10/27/2016,7_dwarfs_train,23.666666666666668,41.66101694915254
10/27/2017,7_dwarfs_train,30.666666666666668,33.18125
10/27/2018,7_dwarfs_train,40.0,-95.42857142857143
10/27/2019,7_dwarfs_train,28.5,4.1678321678321675
10/27/2021,7_dwarfs_train,19.0,49.18092105263158
10/28/2015,7_dwarfs_train,34.625,50.78358208955224
10/28/2016,7_dwarfs_train,58.333333333333336,62.94117647058823
10/28/2017,7_dwarfs_train,54.25,65.47096774193548
10/28/2018,7_dwarfs_train,37.0,-13.441558441558442
10/28/2019,7_dwarfs_train,22.0,72.66949152542372
10/28/2021,7_dwarfs_train,28.666666666666668,-91.45925925925926
10/29/2015,7_dwarfs_train,31.75,45.714285714285715
10/29/2016,7_dwarfs_train,16.0,85.2542372881356
