date,ride_name,sactmin
2/20/2015,splash_mountain,15
2/20/2015,7_dwarfs_train,70
2/20/2015,haunted_mansion,17
2/20/2015,space_mountain,48
2/20/2015,big_thunder_mtn,3
2/20/2015,pirates_of_caribbean,26
2/20/2015,peter_pan_s_flight,44
2/21/2015,big_thunder_mtn,22
2/21/2015,splash_mountain,18
2/21/2015,peter_pan_s_flight,26
2/21/2015,7_dwarfs_train,28
2/21/2015,haunted_mansion,31
2/21/2015,it_s_a_small_world,14
2/21/2015,pirates_of_caribbean,15
2/21/2015,space_mountain,22
2/22/2015,haunted_mansion,15
2/22/2015,peter_pan_s_flight,62
2/22/2015,7_dwarfs_train,46
2/22/2015,big_thunder_mtn,18
2/22/2015,splash_mountain,35
2/22/2015,pirates_of_caribbean,18
2/22/2015,space_mountain,32
2/23/2015,haunted_mansion,13
2/23/2015,7_dwarfs_train,57
2/23/2015,peter_pan_s_flight,44
2/23/2015,splash_mountain,39
2/23/2015,big_thunder_mtn,14
2/23/2015,space_mountain,23
2/23/2015,it_s_a_small_world,25
2/24/2015,space_mountain,10
2/24/2015,7_dwarfs_train,39
2/24/2015,pirates_of_caribbean,14
2/24/2015,it_s_a_small_world,14
2/24/2015,big_thunder_mtn,8
2/24/2015,haunted_mansion,10
2/24/2015,splash_mountain,21
2/24/2015,peter_pan_s_flight,27
2/25/2015,splash_mountain,13
2/25/2015,7_dwarfs_train,50
2/25/2015,it_s_a_small_world,14
2/25/2015,haunted_mansion,23
2/25/2015,pirates_of_caribbean,19
2/25/2015,space_mountain,18
2/25/2015,big_thunder_mtn,16
2/26/2015,pirates_of_caribbean,21
2/26/2015,peter_pan_s_flight,19
2/26/2015,space_mountain,18
2/26/2015,splash_mountain,8
2/26/2015,it_s_a_small_world,3
2/26/2015,big_thunder_mtn,12
2/26/2015,7_dwarfs_train,30
2/26/2015,haunted_mansion,10
2/27/2015,pirates_of_caribbean,13
2/27/2015,it_s_a_small_world,9
2/27/2015,7_dwarfs_train,51
2/27/2015,space_mountain,24
2/27/2015,splash_mountain,1
2/27/2015,big_thunder_mtn,11
2/27/2015,haunted_mansion,8
2/28/2015,pirates_of_caribbean,6
2/28/2015,space_mountain,26
